currency,date,rates
AUD,2018-02-19,0.068053
BGN,2018-02-19,0.084802
BRL,2018-02-19,0.1748
CAD,2018-02-19,0.067584
CHF,2018-02-19,0.049954
CNY,2018-02-19,0.34287
CZK,2018-02-19,1.0987
DKK,2018-02-19,0.32295
EUR,2018-02-19,0.043359
GBP,2018-02-19,0.038505
HKD,2018-02-19,0.42266
HRK,2018-02-19,0.32251
HUF,2018-02-19,13.497
IDR,2018-02-19,730.52
ILS,2018-02-19,0.1917
INR,2018-02-19,3.4707
ISK,2018-02-19,5.4286
JPY,2018-02-19,5.7382
KRW,2018-02-19,57.551
MYR,2018-02-19,0.21047
NOK,2018-02-19,0.41976
NZD,2018-02-19,0.073074
PHP,2018-02-19,2.8236
PLN,2018-02-19,0.18036
RON,2018-02-19,0.20216
RUB,2018-02-19,3.0477
SEK,2018-02-19,0.42987
SGD,2018-02-19,0.070832
THB,2018-02-19,1.691
TRY,2018-02-19,0.20285
USD,2018-02-19,0.054043
ZAR,2018-02-19,0.63014
AUD,2018-02-18,0.068053
BGN,2018-02-18,0.084802
BRL,2018-02-18,0.1748
CAD,2018-02-18,0.067584
CHF,2018-02-18,0.049954
CNY,2018-02-18,0.34287
CZK,2018-02-18,1.0987
DKK,2018-02-18,0.32295
EUR,2018-02-18,0.043359
GBP,2018-02-18,0.038505
HKD,2018-02-18,0.42266
HRK,2018-02-18,0.32251
HUF,2018-02-18,13.497
IDR,2018-02-18,730.52
ILS,2018-02-18,0.1917
INR,2018-02-18,3.4707
ISK,2018-02-18,5.4286
JPY,2018-02-18,5.7382
KRW,2018-02-18,57.551
MYR,2018-02-18,0.21047
NOK,2018-02-18,0.41976
NZD,2018-02-18,0.073074
PHP,2018-02-18,2.8236
PLN,2018-02-18,0.18036
RON,2018-02-18,0.20216
RUB,2018-02-18,3.0477
SEK,2018-02-18,0.42987
SGD,2018-02-18,0.070832
THB,2018-02-18,1.691
TRY,2018-02-18,0.20285
USD,2018-02-18,0.054043
ZAR,2018-02-18,0.63014
AUD,2018-02-17,0.068053
BGN,2018-02-17,0.084802
BRL,2018-02-17,0.1748
